theta0 theta1 theta2 fc_t_min
0 -0.0523599 0.0523599 1.39121
0 -0.0523599 0.10472 1.2805
0 -0.0523599 0.15708 1.16884
0 -0.0523599 0.20944 1.33174
0 -0.0523599 0.261799 1.17692
0 -0.0523599 0.314159 1.34895
0 -0.0523599 0.366519 1.46238
0 -0.0523599 0.418879 1.62035
0 -0.0523599 0.471239 1.46963
0 -0.0523599 0.523599 1.33331
0 -0.0523599 0.575959 1.08835
0 -0.0523599 0.628319 1.202
0 -0.0523599 0.680678 1.0051
0 -0.0523599 0.733038 0.960534
0 -0.0523599 0.785398 0.870331
0 -0.0523599 0.837758 0.882017
0 -0.0523599 0.890118 1.0855
0 -0.0523599 0.942478 0.783042
0 -0.0523599 0.994838 1.01356
0 -0.0523599 1.0472 1.01273
0 -0.10472 0.0523599 1.19317
0 -0.10472 0.10472 1.284
0 -0.10472 0.15708 1.35809
0 -0.10472 0.20944 1.27131
0 -0.10472 0.261799 1.08297
0 -0.10472 0.314159 1.1746
0 -0.10472 0.366519 1.173
0 -0.10472 0.418879 1.46308
0 -0.10472 0.471239 1.47406
0 -0.10472 0.523599 1.36584
0 -0.10472 0.575959 1.29414
0 -0.10472 0.628319 0.877276
0 -0.10472 0.680678 0.82776
0 -0.10472 0.733038 0.81378
0 -0.10472 0.785398 1.05542
0 -0.10472 0.837758 1.08714
0 -0.10472 0.890118 1.14525
0 -0.10472 0.942478 0.919137
0 -0.10472 0.994838 1.00887
0 -0.10472 1.0472 0.836684
0 -0.15708 0.0523599 1.23452
0 -0.15708 0.10472 1.36959
0 -0.15708 0.15708 1.23461
0 -0.15708 0.20944 1.24048
0 -0.15708 0.261799 1.13147
0 -0.15708 0.314159 1.09057
0 -0.15708 0.366519 1.06988
0 -0.15708 0.418879 1.12513
0 -0.15708 0.471239 1.22401
0 -0.15708 0.523599 1.33381
0 -0.15708 0.575959 1.19914
0 -0.15708 0.628319 1.12025
0 -0.15708 0.680678 0.974758
0 -0.15708 0.733038 0.911768
0 -0.15708 0.785398 1.02199
0 -0.15708 0.837758 1.08131
0 -0.15708 0.890118 0.855168
0 -0.15708 0.942478 0.913266
0 -0.15708 0.994838 0.913616
0 -0.15708 1.0472 0.850678
0 -0.20944 0.0523599 1.2749
0 -0.20944 0.10472 1.10967
0 -0.20944 0.15708 1.12678
0 -0.20944 0.20944 1.12044
0 -0.20944 0.261799 1.24048
0 -0.20944 0.314159 1.05687
0 -0.20944 0.366519 1.09305
0 -0.20944 0.418879 1.08997
0 -0.20944 0.471239 1.14887
0 -0.20944 0.523599 1.0936
0 -0.20944 0.575959 1.17376
0 -0.20944 0.628319 1.12676
0 -0.20944 0.680678 1.05424
0 -0.20944 0.733038 1.05347
0 -0.20944 0.785398 1.03938
0 -0.20944 0.837758 1.044
0 -0.20944 0.890118 0.902433
0 -0.20944 0.942478 0.902513
0 -0.20944 0.994838 0.885889
0 -0.20944 1.0472 0.823508
0 -0.261799 0.0523599 0.978137
0 -0.261799 0.10472 1.1354
0 -0.261799 0.15708 1.06188
0 -0.261799 0.20944 1.27038
0 -0.261799 0.261799 1.18691
0 -0.261799 0.314159 1.11768
0 -0.261799 0.366519 1.09528
0 -0.261799 0.418879 1.06478
0 -0.261799 0.471239 1.01684
0 -0.261799 0.523599 1.03758
0 -0.261799 0.575959 0.938676
0 -0.261799 0.628319 1.03923
0 -0.261799 0.680678 0.857684
0 -0.261799 0.733038 1.00801
0 -0.261799 0.785398 1.01203
0 -0.261799 0.837758 1.01651
0 -0.261799 0.890118 0.771736
0 -0.261799 0.942478 0.695076
0 -0.261799 0.994838 0.803017
0 -0.261799 1.0472 0.891879
0 -0.314159 0.0523599 1.32749
0 -0.314159 0.10472 1.16023
0 -0.314159 0.15708 1.08671
0 -0.314159 0.20944 0.975677
0 -0.314159 0.261799 1.15669
0 -0.314159 0.314159 1.11043
0 -0.314159 0.366519 1.07735
0 -0.314159 0.418879 0.860993
0 -0.314159 0.471239 0.851394
0 -0.314159 0.523599 1.01939
0 -0.314159 0.575959 1.02056
0 -0.314159 0.628319 0.86046
0 -0.314159 0.680678 0.97515
0 -0.314159 0.733038 0.869399
0 -0.314159 0.785398 0.733886
0 -0.314159 0.837758 0.767102
0 -0.314159 0.890118 0.764122
0 -0.314159 0.942478 0.86626
0 -0.314159 0.994838 0.866668
0 -0.314159 1.0472 0.86739
0 -0.366519 0.0523599 1.11468
0 -0.366519 0.10472 1.1841
0 -0.366519 0.15708 1.11059
0 -0.366519 0.20944 1.11422
0 -0.366519 0.261799 1.02248
0 -0.366519 0.314159 0.852023
0 -0.366519 0.366519 1.09616
0 -0.366519 0.418879 0.903573
0 -0.366519 0.471239 1.14867
0 -0.366519 0.523599 0.933736
0 -0.366519 0.575959 0.884521
0 -0.366519 0.628319 1.12642
0 -0.366519 0.680678 1.12879
0 -0.366519 0.733038 0.903693
0 -0.366519 0.785398 0.983359
0 -0.366519 0.837758 0.987033
0 -0.366519 0.890118 0.787505
0 -0.366519 0.942478 0.745122
0 -0.366519 0.994838 0.704865
0 -0.366519 1.0472 0.863526
0 -0.418879 0.0523599 1.08561
0 -0.418879 0.10472 1.26263
0 -0.418879 0.15708 1.13343
0 -0.418879 0.20944 1.15104
0 -0.418879 0.261799 0.935109
0 -0.418879 0.314159 1.08805
0 -0.418879 0.366519 1.03546
0 -0.418879 0.418879 0.984234
0 -0.418879 0.471239 0.947077
0 -0.418879 0.523599 0.979379
0 -0.418879 0.575959 1.09155
0 -0.418879 0.628319 1.09322
0 -0.418879 0.680678 0.878506
0 -0.418879 0.733038 0.881232
0 -0.418879 0.785398 0.944739
0 -0.418879 0.837758 0.948258
0 -0.418879 0.890118 0.880429
0 -0.418879 0.942478 0.881347
0 -0.418879 0.994838 0.880326
0 -0.418879 1.0472 0.901012
0 -0.471239 0.0523599 1.28804
0 -0.471239 0.10472 1.1274
0 -0.471239 0.15708 1.11555
0 -0.471239 0.20944 1.18656
0 -0.471239 0.261799 1.13254
0 -0.471239 0.314159 1.09073
0 -0.471239 0.366519 0.975608
0 -0.471239 0.418879 0.995532
0 -0.471239 0.471239 0.994654
0 -0.471239 0.523599 1.05558
0 -0.471239 0.575959 0.844044
0 -0.471239 0.628319 0.883488
0 -0.471239 0.680678 0.926421
0 -0.471239 0.733038 1.06801
0 -0.471239 0.785398 1.01574
0 -0.471239 0.837758 0.966162
0 -0.471239 0.890118 0.623266
0 -0.471239 0.942478 0.94957
0 -0.471239 0.994838 0.953875
0 -0.471239 1.0472 0.958542
0 -0.523599 0.0523599 1.29706
0 -0.523599 0.10472 1.25427
0 -0.523599 0.15708 0.977647
0 -0.523599 0.20944 1.22066
0 -0.523599 0.261799 1.16665
0 -0.523599 0.314159 0.920644
0 -0.523599 0.366519 0.965998
0 -0.523599 0.418879 0.964325
0 -0.523599 0.471239 0.962812
0 -0.523599 0.523599 0.820315
0 -0.523599 0.575959 0.773879
0 -0.523599 0.628319 0.853739
0 -0.523599 0.680678 1.02661
0 -0.523599 0.733038 1.04725
0 -0.523599 0.785398 0.709116
0 -0.523599 0.837758 0.902751
0 -0.523599 0.890118 0.905248
0 -0.523599 0.942478 0.908085
0 -0.523599 0.994838 0.911254
0 -0.523599 1.0472 0
0 -0.575959 0.0523599 1.30216
0 -0.575959 0.10472 1.2635
0 -0.575959 0.15708 1.23683
0 -0.575959 0.20944 1.26443
0 -0.575959 0.261799 1.19925
0 -0.575959 0.314159 1.01927
0 -0.575959 0.366519 0.93715
0 -0.575959 0.418879 0.825882
0 -0.575959 0.471239 0.77759
0 -0.575959 0.523599 0.789492
0 -0.575959 0.575959 0.821012
0 -0.575959 0.628319 0.79154
0 -0.575959 0.680678 0.807129
0 -0.575959 0.733038 0.808857
0 -0.575959 0.785398 0.650658
0 -0.575959 0.837758 0.838906
0 -0.575959 0.890118 0.530361
0 -0.575959 0.942478 0.3603
0 -0.575959 0.994838 0
0 -0.575959 1.0472 0
0 -0.628319 0.0523599 1.24571
0 -0.628319 0.10472 1.3739
0 -0.628319 0.15708 1.33333
0 -0.628319 0.20944 1.31683
0 -0.628319 0.261799 1.21659
0 -0.628319 0.314159 1.02955
0 -0.628319 0.366519 0.867463
0 -0.628319 0.418879 0.868218
0 -0.628319 0.471239 0.902888
0 -0.628319 0.523599 0.764679
0 -0.628319 0.575959 0.643668
0 -0.628319 0.628319 0.527109
0 -0.628319 0.680678 0.573771
0 -0.628319 0.733038 0.787781
0 -0.628319 0.785398 0.788444
0 -0.628319 0.837758 0.465443
0 -0.628319 0.890118 0.242165
0 -0.628319 0.942478 0
0 -0.628319 0.994838 0
0 -0.628319 1.0472 0
0 -0.680678 0.0523599 1.18836
0 -0.680678 0.10472 1.28427
0 -0.680678 0.15708 1.19546
0 -0.680678 0.20944 1.3249
0 -0.680678 0.261799 1.10418
0 -0.680678 0.314159 1.03372
0 -0.680678 0.366519 0.841477
0 -0.680678 0.418879 0.989572
0 -0.680678 0.471239 0.932953
0 -0.680678 0.523599 0.825797
0 -0.680678 0.575959 0.761246
0 -0.680678 0.628319 0.560421
0 -0.680678 0.680678 0.710329
0 -0.680678 0.733038 0.395529
0 -0.680678 0.785398 0.396458
0 -0.680678 0.837758 0.313249
0 -0.680678 0.890118 0
0 -0.680678 0.942478 0
0 -0.680678 0.994838 0
0 -0.680678 1.0472 0
0 -0.733038 0.0523599 1.19526
0 -0.733038 0.10472 1.1068
0 -0.733038 0.15708 1.02407
0 -0.733038 0.20944 1.29373
0 -0.733038 0.261799 1.19438
0 -0.733038 0.314159 0.92776
0 -0.733038 0.366519 0.85968
0 -0.733038 0.418879 1.01969
0 -0.733038 0.471239 0.965491
0 -0.733038 0.523599 0.752586
0 -0.733038 0.575959 0.649284
0 -0.733038 0.628319 0.65071
0 -0.733038 0.680678 0.416634
0 -0.733038 0.733038 0.428007
0 -0.733038 0.785398 0.42701
